,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20
Gene_1,0.1050798683358674,0.029943223950993893,0.489885370378511,0.3532549132676781,-0.23194473299563834,-0.17059249580166147,0.6568442681926323,0.29598064067780955,-0.24679435653389337,0.26542149969846063,-0.1196097979741306,0.05401007203550079,-0.06782193730566025,-0.639516502716893,-0.5958969803803413,-0.46138924839871553,-0.2446252806874119,0.14648525421456005,-0.27138453132787105,-0.47060853707561684
Gene_2,-0.1340599025067131,-0.1256083549044272,0.12576365812485385,0.29645350307808377,-0.10250315475020262,0.010569084278153534,0.8510010248943235,0.26514598131224043,-0.08933223763593273,0.14787882992255594,-0.522779550903547,-0.14502170116092042,0.08463472345801552,-0.08133565090028211,-0.5559475427101344,-0.10837679030556929,-0.31079169004137575,-0.13946140774532428,-0.04384265975335913,-0.2733045038632326
Gene_3,0.3072206353119792,-0.22335678131030318,0.4748654236174276,0.1765387443639514,0.047125406343053275,0.3678500380772416,0.27565657962607976,0.11697087282531825,-0.12091204276295738,0.06207288225254955,-0.4491579940569652,-0.12600633110987158,-0.13987206127541074,-0.47926558727030305,-0.7013601966006705,0.14130062223121612,-0.4604999945675745,0.029861896537447044,-0.1097037791824293,-0.6698639736873785
Gene_4,0.19450623282419566,0.21994926050513025,-0.1271900854820378,0.49383572862886843,-0.01826945356731608,0.08612348727070793,0.22637370247660105,-0.03386090387098262,-0.03645400265710608,0.22216494772242662,-0.08892673777456336,-0.07042928417168191,-0.06341626284588794,-0.5275333339651387,-0.4588608550941736,-0.31155654237756536,0.06930556612862421,0.18904078396093965,-0.510667922096893,-0.2923803886738215
Gene_5,-0.0459220881420945,0.11593763039713503,0.4260256772316886,0.29277249325206545,0.12242921343186358,0.012315098302545513,0.6381758766511154,0.6095890152766621,-0.18991993898105972,0.012020780204291454,-0.31692819376884335,-0.3028809830641647,0.05716833958698939,-0.5057536784340106,-0.46213718988790603,-0.0032496089650870252,-0.3012489577247457,0.3849810152100455,-0.3253385893039545,0.12034272291733633
Gene_6,0.27414771545637107,-0.2129108016346119,-0.019871938182014715,0.5534034399710446,-0.11493856948217097,0.07255901173366425,0.5684113695669264,0.21566463621449808,-0.31020105939416664,-0.14020143186138354,-0.2283282982571429,0.03156083279361743,0.11540743029585103,-0.8231318291397369,-0.48283916458367343,-0.09162278282652443,-0.4806208233405537,0.12501922096768775,-0.2607654789671633,-0.652285169966712
Gene_7,0.22057171797302644,0.07067761492229149,0.41091681006526315,0.6676693673293882,-0.345779886008419,-0.25780609506777874,0.5767708980939494,0.3329876089283144,-0.03783277851927602,0.9333143112067337,-0.024847205705105277,0.08739420196504274,0.2633890341684507,-0.4437058231361798,-0.5805291986819789,-0.016892414673638306,-0.4584143790078415,0.04691047843058038,-0.36947993222218395,-0.4073162825233229
Gene_8,0.6119459592380715,-0.41493232886970505,0.33155859950511046,0.13436578268447724,-0.1646323855748875,0.14754903230871907,0.48661984847131,0.014681463160011399,-0.28390305763247925,0.2986875628627246,-0.285098634187166,-0.09642720815468209,0.081703049450573,-0.7043041429185029,-0.08868653188884468,-0.04190245430868955,-0.7088778534318485,0.13156506273246768,-0.40476451561004084,-0.25320444344134263
Gene_9,-0.009489901783170357,-0.0644265786447352,0.2953040172262992,0.6300599957564319,-0.3103052938281561,-0.13714133425294384,0.3787747824200262,0.09956457223113024,0.21224853227573376,0.24376435526798051,-0.39120209871074774,0.04385346333987816,0.49701992087233693,-0.36749102128711,-0.8213493429447125,-0.2655330733455421,-0.05046710626300255,-0.047259693345174006,-0.18364333702711755,-0.26876429971472005
Gene_10,-0.036371848412246804,-0.05338436156371541,-0.4539469065836068,0.2520314286555496,-0.12075964269563286,-0.31979772347772406,0.8002461054385446,-0.055797856846253935,-0.22885121311988238,0.18891612853300765,0.14922934996948445,-0.42689135630696495,0.3052214319008022,-0.5719374611934219,-0.7137770799635,-0.07626556391963764,-0.2640373969856331,-0.025769175653176782,-0.2584468056583595,-0.5007538297729395
Gene_11,0.1717177149536194,0.09094684455285396,0.5115099246592782,0.20934585715703774,0.3563606625142526,-0.4606586469892545,0.44340682564510076,0.34789386004278794,-0.08464394223347908,0.03822810911167063,-0.18064975791519372,-0.23831911300284364,-0.045284269919032075,-0.40406365399313443,-0.4460722525609004,-0.3072681778244226,-0.12392936101367696,0.15573410395390402,-0.10983479888857123,-0.297765342015865
